Date,Title,Quantity Sold,Total Revenue
2026-03-14,Copper Wire Kingdom,4,79.96
2026-03-14,Echoes in Sepia,5,71.0
2026-03-15,Static Hearts,3,33.75
2026-03-15,The Silent Orchard,3,44.97
2026-03-15,Quantum Shadows,4,88.0
2026-03-15,The Nightshift Gardener,5,68.75
2026-03-15,Ghosts of the Data Center,6,154.5
2026-03-15,The Clockmaker's Daughter II,1,15.25
2026-03-16,Data Dreams,2,52.0
2026-03-16,Ghosts of the Data Center,2,51.5
2026-03-16,The Bureaucrat's Garden,1,14.6
2026-03-16,The Bureaucrat's Garden,1,14.6
2026-03-16,Copper Wire Kingdom,5,99.95
2026-03-16,The Salt Road,2,31.98
2026-03-16,The Clockmaker's Daughter II,1,15.25
2026-03-17,Verses for a Rainy Ledger,1,8.5
2026-03-17,Static Hearts,1,11.25
2026-03-17,Neural Nights,3,74.97
2026-03-17,Echoes in Sepia,4,56.8
2026-03-17,Verses for a Rainy Ledger,1,8.5
2026-03-17,The Silent Orchard,2,29.98
2026-03-18,Beneath the Marigold Sky,1,11.99
2026-03-18,Under a Borrowed Moon,5,54.95
2026-03-18,Copper Wire Kingdom,3,59.97
2026-03-18,Saffron and Static,8,103.92
2026-03-18,The Salt Road,3,47.97
2026-03-18,Beneath the Marigold Sky,6,71.94
2026-03-18,Echoes in Sepia,1,14.2
2026-03-19,Data Dreams,3,78.0
2026-03-19,The Nightshift Gardener,4,55.0
2026-03-19,Quantum Shadows,3,66.0
2026-03-19,Static Hearts,3,33.75
2026-03-19,Copper Wire Kingdom,3,59.97
2026-03-19,The Grammar of Rivers,1,9.99
2026-03-20,Static Hearts,5,56.25
2026-03-20,Ghosts of the Data Center,1,25.75
2026-03-20,Quantum Shadows,3,66.0
2026-03-20,Neural Nights,2,49.98
2026-03-20,Copper Wire Kingdom,5,99.95
2026-03-20,Copper Wire Kingdom,1,19.99
2026-03-21,Beneath the Marigold Sky,8,95.92
2026-03-21,Quantum Shadows,2,44.0
2026-03-21,Static Hearts,5,56.25
2026-03-22,The Algorithm of Grief,3,51.0
2026-03-22,The Last Cartographer,2,33.5
2026-03-23,Quantum Shadows,2,44.0
2026-03-23,The Algorithm of Grief,2,34.0
2026-03-23,The Algorithm of Grief,5,85.0
2026-03-23,The Nightshift Gardener,1,13.75
2026-03-23,The Salt Road,4,63.96
2026-03-23,The Grammar of Rivers,1,9.99
2026-03-23,Neural Nights,1,24.99
2026-03-24,Verses for a Rainy Ledger,2,17.0
2026-03-24,The Bureaucrat's Garden,1,14.6
2026-03-25,Echoes in Sepia,1,14.2
2026-03-25,The Iron Archive,1,18.4
2026-03-25,Verses for a Rainy Ledger,1,8.5
2026-03-25,The Grammar of Rivers,1,9.99
2026-03-25,The Last Cartographer,2,33.5
2026-03-25,The Grammar of Rivers,1,9.99
2026-03-25,The Nightshift Gardener,1,13.75
2026-03-26,The Nightshift Gardener,2,27.5
2026-03-26,Data Dreams,1,26.0
2026-03-26,Beneath the Marigold Sky,3,35.97
2026-03-26,Under a Borrowed Moon,6,65.94
2026-03-26,Ghosts of the Data Center,1,25.75
2026-03-26,Whispers of Kaduna,9,112.5
2026-03-26,The Clockmaker's Daughter II,1,15.25
2026-03-27,The Algorithm of Grief,3,51.0
2026-03-27,The Algorithm of Grief,6,102.0
2026-03-27,The Last Cartographer,2,33.5
2026-03-27,The Silent Orchard,1,14.99
2026-03-28,Verses for a Rainy Ledger,1,8.5
2026-03-28,Saffron and Static,1,12.99
2026-03-28,Whispers of Kaduna,3,37.5
2026-03-28,Monsoon Ledger,2,26.8
2026-03-28,Data Dreams,5,130.0
2026-03-28,Ashes of Meridian,3,56.97
2026-03-29,Code & Cauldron,2,55.0
2026-03-29,Verses for a Rainy Ledger,1,8.5
2026-03-29,Whispers of Kaduna,1,12.5
2026-03-30,The Bureaucrat's Garden,1,14.6
2026-03-30,The Physics of Forgetting,2,43.0
2026-03-30,The Grammar of Rivers,1,9.99
2026-03-30,The Last Cartographer,1,16.75
2026-03-31,The Nightshift Gardener,3,41.25
2026-03-31,The Clockmaker's Daughter II,1,15.25
2026-03-31,The Bureaucrat's Garden,1,14.6
2026-03-31,Verses for a Rainy Ledger,1,8.5
2026-03-31,Code & Cauldron,1,27.5
2026-03-31,The Silent Orchard,1,14.99
2026-04-01,The Silent Orchard,2,29.98
2026-04-01,The Grammar of Rivers,1,9.99
2026-04-01,Copper Wire Kingdom,2,39.98
2026-04-01,Quantum Shadows,2,44.0
2026-04-01,The Salt Road,2,31.98
2026-04-02,Code & Cauldron,1,27.5
2026-04-02,Quantum Shadows,1,22.0
2026-04-02,Data Dreams,1,26.0
2026-04-03,Echoes in Sepia,2,28.4
2026-04-03,Ghosts of the Data Center,4,103.0
2026-04-03,Copper Wire Kingdom,3,59.97
2026-04-04,Whispers of Kaduna,1,12.5
2026-04-04,The Iron Archive,1,18.4
2026-04-04,The Algorithm of Grief,2,34.0
2026-04-04,Code & Cauldron,1,27.5
2026-04-04,Beneath the Marigold Sky,1,11.99
2026-04-05,The Last Cartographer,3,50.25
2026-04-05,The Iron Archive,3,55.2
2026-04-05,Code & Cauldron,2,55.0
2026-04-05,Whispers of Kaduna,3,37.5
2026-04-05,The Salt Road,1,15.99
2026-04-05,Monsoon Ledger,1,13.4
2026-04-06,The Last Cartographer,1,16.75
2026-04-06,The Algorithm of Grief,1,17.0
2026-04-06,Monsoon Ledger,1,13.4
2026-04-06,Quantum Shadows,3,66.0
2026-04-07,Neural Nights,2,49.98
2026-04-07,Copper Wire Kingdom,5,99.95
2026-04-07,Neural Nights,3,74.97
2026-04-07,Monsoon Ledger,5,67.0
2026-04-07,Under a Borrowed Moon,3,32.97
2026-04-07,The Iron Archive,2,36.8
2026-04-08,Data Dreams,2,52.0
2026-04-08,Code & Cauldron,1,27.5
2026-04-08,The Silent Orchard,2,29.98
2026-04-08,Static Hearts,3,33.75
2026-04-08,Under a Borrowed Moon,8,87.92
2026-04-08,The Silent Orchard,3,44.97
2026-04-08,Ghosts of the Data Center,1,25.75
2026-04-09,The Algorithm of Grief,2,34.0
2026-04-09,The Iron Archive,4,73.6
2026-04-09,The Salt Road,1,15.99
2026-04-09,The Iron Archive,1,18.4
2026-04-09,Under a Borrowed Moon,5,54.95
2026-04-10,The Grammar of Rivers,3,29.97
2026-04-10,The Nightshift Gardener,2,27.5
2026-04-10,Ghosts of the Data Center,6,154.5
2026-04-10,The Silent Orchard,3,44.97
2026-04-10,Under a Borrowed Moon,5,54.95
2026-04-10,The Grammar of Rivers,1,9.99
2026-04-11,Neural Nights,2,49.98
2026-04-11,Quantum Shadows,1,22.0
2026-04-11,The Salt Road,1,15.99
2026-04-11,Ghosts of the Data Center,1,25.75
2026-04-11,Monsoon Ledger,2,26.8
2026-04-11,Code & Cauldron,2,55.0
2026-04-12,Copper Wire Kingdom,3,59.97
2026-04-12,Ashes of Meridian,2,37.98
2026-04-12,Copper Wire Kingdom,3,59.97
2026-04-12,The Salt Road,4,63.96
2026-04-12,Neural Nights,4,99.96
2026-04-12,Copper Wire Kingdom,2,39.98
2026-04-13,The Clockmaker's Daughter II,5,76.25
2026-04-13,The Clockmaker's Daughter II,1,15.25
2026-04-13,Data Dreams,2,52.0
2026-04-13,Saffron and Static,5,64.95
2026-04-14,The Iron Archive,1,18.4
2026-04-14,Saffron and Static,2,25.98
2026-04-14,Monsoon Ledger,3,40.2
2026-04-14,The Physics of Forgetting,5,107.5
2026-04-14,The Last Cartographer,2,33.5
2026-04-14,The Salt Road,3,47.97
2026-04-14,Beneath the Marigold Sky,4,47.96
2026-04-15,The Iron Archive,1,18.4
2026-04-15,Saffron and Static,2,25.98
2026-04-15,Static Hearts,4,45.0
2026-04-15,Copper Wire Kingdom,1,19.99
2026-04-15,The Nightshift Gardener,1,13.75
2026-04-15,Data Dreams,2,52.0
2026-04-15,Copper Wire Kingdom,3,59.97
2026-04-16,Ghosts of the Data Center,3,77.25
2026-04-16,Code & Cauldron,2,55.0
2026-04-16,The Grammar of Rivers,1,9.99
2026-04-16,Whispers of Kaduna,2,25.0
2026-04-16,Echoes in Sepia,1,14.2
2026-04-16,The Algorithm of Grief,3,51.0
2026-04-17,The Bureaucrat's Garden,1,14.6
2026-04-17,Whispers of Kaduna,3,37.5
2026-04-17,Static Hearts,5,56.25
2026-04-17,Under a Borrowed Moon,3,32.97
2026-04-18,Ghosts of the Data Center,4,103.0
2026-04-18,Ashes of Meridian,1,18.99
2026-04-18,Quantum Shadows,1,22.0
2026-04-19,Ghosts of the Data Center,2,51.5
2026-04-19,Static Hearts,6,67.5
2026-04-19,Copper Wire Kingdom,3,59.97
2026-04-20,The Physics of Forgetting,1,21.5
2026-04-20,Ashes of Meridian,1,18.99
2026-04-20,Copper Wire Kingdom,7,139.93
2026-04-21,The Clockmaker's Daughter II,2,30.5
2026-04-21,Ashes of Meridian,4,75.96
2026-04-21,Copper Wire Kingdom,5,99.95
2026-04-22,The Clockmaker's Daughter II,1,15.25
2026-04-22,Echoes in Sepia,1,14.2
2026-04-22,Whispers of Kaduna,2,25.0
2026-04-22,Static Hearts,1,11.25
2026-04-22,Quantum Shadows,1,22.0
2026-04-22,The Clockmaker's Daughter II,2,30.5
2026-04-23,The Clockmaker's Daughter II,1,15.25
2026-04-23,Ghosts of the Data Center,1,25.75
2026-04-24,Saffron and Static,1,12.99
2026-04-24,The Iron Archive,1,18.4
2026-04-24,The Nightshift Gardener,3,41.25
2026-04-24,The Last Cartographer,3,50.25
2026-04-24,The Nightshift Gardener,4,55.0
2026-04-24,Beneath the Marigold Sky,2,23.98
2026-04-25,The Bureaucrat's Garden,1,14.6
2026-04-25,Verses for a Rainy Ledger,1,8.5
2026-04-25,Data Dreams,1,26.0
2026-04-25,The Algorithm of Grief,2,34.0
2026-04-25,Saffron and Static,5,64.95
2026-04-26,The Nightshift Gardener,4,55.0
2026-04-26,Copper Wire Kingdom,4,79.96
2026-04-26,The Iron Archive,1,18.4
2026-04-27,Echoes in Sepia,3,42.6
2026-04-27,The Clockmaker's Daughter II,1,15.25
2026-04-27,Neural Nights,1,24.99
2026-04-28,Code & Cauldron,1,27.5
2026-04-28,Beneath the Marigold Sky,5,59.95
2026-04-28,The Physics of Forgetting,2,43.0
2026-04-29,The Iron Archive,1,18.4
2026-04-29,Data Dreams,2,52.0
2026-04-29,The Physics of Forgetting,1,21.5
2026-04-29,The Grammar of Rivers,3,29.97
2026-04-29,The Silent Orchard,3,44.97
2026-04-29,The Physics of Forgetting,2,43.0
2026-04-29,Neural Nights,1,24.99
2026-04-30,Copper Wire Kingdom,3,59.97
2026-04-30,Neural Nights,1,24.99
2026-04-30,Copper Wire Kingdom,5,99.95
2026-04-30,The Grammar of Rivers,2,19.98
2026-05-01,Copper Wire Kingdom,3,59.97
2026-05-01,Echoes in Sepia,4,56.8
2026-05-01,The Bureaucrat's Garden,1,14.6
2026-05-01,Copper Wire Kingdom,1,19.99
2026-05-02,Under a Borrowed Moon,2,21.98
2026-05-02,Under a Borrowed Moon,6,65.94
2026-05-02,Data Dreams,3,78.0
2026-05-02,Monsoon Ledger,5,67.0
2026-05-02,Static Hearts,4,45.0
2026-05-02,Whispers of Kaduna,5,62.5
2026-05-02,Saffron and Static,1,12.99
2026-05-03,Saffron and Static,2,25.98
2026-05-03,The Nightshift Gardener,4,55.0
2026-05-03,The Salt Road,1,15.99
2026-05-03,Ashes of Meridian,2,37.98
2026-05-04,The Bureaucrat's Garden,1,14.6
2026-05-04,Verses for a Rainy Ledger,1,8.5
2026-05-04,Verses for a Rainy Ledger,2,17.0
2026-05-04,Whispers of Kaduna,6,75.0
2026-05-04,The Iron Archive,1,18.4
2026-05-04,The Grammar of Rivers,1,9.99
2026-05-04,Monsoon Ledger,1,13.4
2026-05-05,The Clockmaker's Daughter II,1,15.25
2026-05-05,The Grammar of Rivers,1,9.99
2026-05-06,The Silent Orchard,1,14.99
2026-05-06,The Silent Orchard,1,14.99
2026-05-06,Neural Nights,1,24.99
2026-05-07,The Nightshift Gardener,2,27.5
2026-05-07,Under a Borrowed Moon,6,65.94
2026-05-07,Whispers of Kaduna,5,62.5
2026-05-07,The Clockmaker's Daughter II,2,30.5
2026-05-07,Static Hearts,3,33.75
2026-05-07,Echoes in Sepia,3,42.6
2026-05-07,Copper Wire Kingdom,4,79.96
2026-05-08,The Nightshift Gardener,2,27.5
2026-05-08,Code & Cauldron,1,27.5
2026-05-08,The Nightshift Gardener,1,13.75
2026-05-08,Data Dreams,1,26.0
2026-05-08,The Bureaucrat's Garden,1,14.6
2026-05-09,The Iron Archive,2,36.8
2026-05-09,The Salt Road,1,15.99
2026-05-09,Beneath the Marigold Sky,6,71.94
2026-05-09,The Last Cartographer,2,33.5
2026-05-09,Echoes in Sepia,3,42.6
2026-05-09,The Salt Road,3,47.97
2026-05-10,Beneath the Marigold Sky,3,35.97
2026-05-10,Code & Cauldron,2,55.0
2026-05-10,The Algorithm of Grief,1,17.0
2026-05-10,Neural Nights,3,74.97
2026-05-10,The Bureaucrat's Garden,1,14.6
2026-05-10,Under a Borrowed Moon,4,43.96
2026-05-11,The Silent Orchard,3,44.97
2026-05-11,Beneath the Marigold Sky,1,11.99
2026-05-12,Under a Borrowed Moon,5,54.95
2026-05-12,Beneath the Marigold Sky,2,23.98
2026-05-12,Echoes in Sepia,1,14.2
2026-05-12,Beneath the Marigold Sky,2,23.98
2026-05-12,Copper Wire Kingdom,1,19.99
2026-05-12,Copper Wire Kingdom,4,79.96
2026-05-13,Whispers of Kaduna,3,37.5
2026-05-13,Ghosts of the Data Center,1,25.75
2026-05-13,The Nightshift Gardener,3,41.25
2026-05-13,Ghosts of the Data Center,2,51.5
2026-05-13,Ashes of Meridian,4,75.96
2026-05-13,The Iron Archive,1,18.4
2026-05-13,Under a Borrowed Moon,4,43.96
2026-05-14,Saffron and Static,3,38.97
2026-05-14,The Last Cartographer,1,16.75
2026-05-15,Whispers of Kaduna,6,75.0
2026-05-15,The Nightshift Gardener,4,55.0
2026-05-15,Code & Cauldron,2,55.0
2026-05-15,Neural Nights,1,24.99
2026-05-15,The Silent Orchard,2,29.98
2026-05-16,Data Dreams,1,26.0
2026-05-16,Ghosts of the Data Center,4,103.0
2026-05-16,The Silent Orchard,3,44.97
2026-05-16,Copper Wire Kingdom,2,39.98
2026-05-16,Copper Wire Kingdom,7,139.93
2026-05-16,Quantum Shadows,1,22.0
2026-05-17,Under a Borrowed Moon,2,21.98
2026-05-17,Ghosts of the Data Center,2,51.5
2026-05-17,The Last Cartographer,4,67.0
2026-05-17,Monsoon Ledger,3,40.2
2026-05-17,Data Dreams,1,26.0
2026-05-17,Under a Borrowed Moon,3,32.97
2026-05-18,The Clockmaker's Daughter II,2,30.5
2026-05-18,The Clockmaker's Daughter II,2,30.5
2026-05-19,The Algorithm of Grief,4,68.0
2026-05-19,Static Hearts,4,45.0
2026-05-19,The Bureaucrat's Garden,1,14.6
2026-05-19,The Bureaucrat's Garden,4,58.4
2026-05-20,Beneath the Marigold Sky,3,35.97
2026-05-20,Under a Borrowed Moon,1,10.99
2026-05-20,Copper Wire Kingdom,3,59.97
2026-05-21,The Algorithm of Grief,4,68.0
2026-05-21,Ghosts of the Data Center,3,77.25
2026-05-21,Ghosts of the Data Center,4,103.0
2026-05-21,Whispers of Kaduna,2,25.0
2026-05-21,Quantum Shadows,3,66.0
2026-05-21,Ashes of Meridian,1,18.99
2026-05-21,Verses for a Rainy Ledger,1,8.5
2026-05-22,Quantum Shadows,1,22.0
2026-05-22,The Bureaucrat's Garden,3,43.8
2026-05-22,Echoes in Sepia,2,28.4
2026-05-23,The Last Cartographer,1,16.75
2026-05-23,Beneath the Marigold Sky,2,23.98
2026-05-23,The Algorithm of Grief,3,51.0
2026-05-23,Under a Borrowed Moon,2,21.98
2026-05-23,Ghosts of the Data Center,4,103.0
2026-05-24,The Nightshift Gardener,2,27.5
2026-05-24,The Grammar of Rivers,1,9.99
2026-05-24,Ashes of Meridian,2,37.98
2026-05-24,The Silent Orchard,4,59.96
2026-05-24,Verses for a Rainy Ledger,1,8.5
2026-05-24,The Physics of Forgetting,4,86.0
2026-05-24,Echoes in Sepia,1,14.2
2026-05-25,The Algorithm of Grief,2,34.0
2026-05-25,Quantum Shadows,2,44.0
2026-05-25,The Iron Archive,1,18.4
2026-05-26,Whispers of Kaduna,5,62.5
2026-05-26,Quantum Shadows,3,66.0
2026-05-26,The Nightshift Gardener,2,27.5
2026-05-26,Saffron and Static,1,12.99
2026-05-27,The Last Cartographer,4,67.0
2026-05-27,Ghosts of the Data Center,2,51.5
2026-05-27,Under a Borrowed Moon,4,43.96
2026-05-28,Beneath the Marigold Sky,4,47.96
2026-05-28,Data Dreams,1,26.0
2026-05-28,Whispers of Kaduna,2,25.0
2026-05-28,The Clockmaker's Daughter II,1,15.25
2026-05-29,The Silent Orchard,4,59.96
2026-05-29,The Last Cartographer,1,16.75
2026-05-29,The Last Cartographer,2,33.5
2026-05-29,Ashes of Meridian,4,75.96
2026-05-29,The Grammar of Rivers,1,9.99
2026-05-30,Verses for a Rainy Ledger,1,8.5
2026-05-30,The Bureaucrat's Garden,1,14.6
2026-05-30,Code & Cauldron,2,55.0
2026-05-31,The Algorithm of Grief,3,51.0
2026-05-31,Verses for a Rainy Ledger,1,8.5
2026-05-31,Verses for a Rainy Ledger,1,8.5
2026-06-01,The Last Cartographer,3,50.25
2026-06-01,Whispers of Kaduna,3,37.5
2026-06-01,The Salt Road,1,15.99
2026-06-02,Neural Nights,1,24.99
2026-06-02,The Silent Orchard,3,44.97
2026-06-03,Monsoon Ledger,2,26.8
2026-06-03,Static Hearts,3,33.75
2026-06-03,Whispers of Kaduna,1,12.5
2026-06-03,The Grammar of Rivers,1,9.99
2026-06-03,The Bureaucrat's Garden,1,14.6
2026-06-04,The Iron Archive,2,36.8
2026-06-04,Copper Wire Kingdom,3,59.97
2026-06-04,Beneath the Marigold Sky,1,11.99
2026-06-04,The Salt Road,3,47.97
2026-06-05,Copper Wire Kingdom,2,39.98
2026-06-05,The Grammar of Rivers,2,19.98
2026-06-05,The Grammar of Rivers,1,9.99
2026-06-05,Ghosts of the Data Center,5,128.75
2026-06-05,Neural Nights,3,74.97
2026-06-06,The Grammar of Rivers,1,9.99
2026-06-06,The Nightshift Gardener,2,27.5
2026-06-07,The Nightshift Gardener,3,41.25
2026-06-07,The Bureaucrat's Garden,1,14.6
2026-06-08,Quantum Shadows,2,44.0
2026-06-08,Static Hearts,4,45.0
2026-06-08,Ashes of Meridian,2,37.98
2026-06-08,Copper Wire Kingdom,2,39.98
2026-06-08,Echoes in Sepia,1,14.2
2026-06-08,Neural Nights,2,49.98
2026-06-09,The Algorithm of Grief,4,68.0
2026-06-09,The Bureaucrat's Garden,2,29.2
2026-06-09,Monsoon Ledger,1,13.4
2026-06-09,Beneath the Marigold Sky,3,35.97
2026-06-09,The Silent Orchard,3,44.97
2026-06-10,Ashes of Meridian,4,75.96
2026-06-10,Whispers of Kaduna,7,87.5
2026-06-10,Neural Nights,3,74.97
2026-06-10,The Physics of Forgetting,1,21.5
2026-06-10,The Algorithm of Grief,1,17.0
2026-06-10,Neural Nights,1,24.99
2026-06-10,The Salt Road,1,15.99
2026-06-11,The Salt Road,1,15.99
2026-06-11,Copper Wire Kingdom,2,39.98
2026-06-11,Static Hearts,3,33.75
2026-06-11,Ashes of Meridian,2,37.98
2026-06-11,The Last Cartographer,3,50.25
2026-06-11,Saffron and Static,3,38.97
2026-06-12,Static Hearts,1,11.25
2026-06-12,The Silent Orchard,7,104.93
2026-06-13,Under a Borrowed Moon,6,65.94
2026-06-13,Code & Cauldron,6,165.0
2026-06-13,Under a Borrowed Moon,3,32.97
2026-06-13,Saffron and Static,5,64.95
2026-06-14,Quantum Shadows,2,44.0
2026-06-14,The Silent Orchard,3,44.97
2026-06-14,The Iron Archive,1,18.4
2026-06-15,The Clockmaker's Daughter II,2,30.5
2026-06-15,The Bureaucrat's Garden,2,29.2
2026-06-15,Ashes of Meridian,1,18.99
2026-06-15,Quantum Shadows,1,22.0
2026-06-15,Static Hearts,2,22.5
2026-06-16,The Nightshift Gardener,1,13.75
2026-06-16,The Silent Orchard,4,59.96
2026-06-16,Ashes of Meridian,4,75.96
2026-06-16,Code & Cauldron,2,55.0
2026-06-16,Under a Borrowed Moon,4,43.96
2026-06-17,Verses for a Rainy Ledger,1,8.5
2026-06-17,The Last Cartographer,3,50.25
2026-06-17,The Clockmaker's Daughter II,2,30.5
2026-06-18,Copper Wire Kingdom,1,19.99
2026-06-18,Whispers of Kaduna,4,50.0
2026-06-19,The Physics of Forgetting,2,43.0
2026-06-19,The Physics of Forgetting,3,64.5
2026-06-19,Data Dreams,2,52.0
2026-06-20,The Last Cartographer,4,67.0
2026-06-20,Saffron and Static,3,38.97
2026-06-20,The Salt Road,1,15.99
2026-06-20,The Bureaucrat's Garden,2,29.2
2026-06-20,Under a Borrowed Moon,2,21.98
2026-06-21,The Nightshift Gardener,3,41.25
2026-06-21,Monsoon Ledger,1,13.4
2026-06-22,Beneath the Marigold Sky,3,35.97
2026-06-22,Verses for a Rainy Ledger,2,17.0
2026-06-22,The Grammar of Rivers,2,19.98
2026-06-22,Static Hearts,2,22.5
2026-06-22,Neural Nights,3,74.97
2026-06-23,Code & Cauldron,6,165.0
2026-06-23,Saffron and Static,3,38.97
2026-06-23,The Bureaucrat's Garden,1,14.6
2026-06-23,Data Dreams,4,104.0
2026-06-23,Neural Nights,4,99.96
2026-06-24,Echoes in Sepia,3,42.6
2026-06-24,Ghosts of the Data Center,2,51.5
2026-06-24,Monsoon Ledger,2,26.8
2026-06-24,Whispers of Kaduna,1,12.5
2026-06-25,Data Dreams,2,52.0
2026-06-25,Under a Borrowed Moon,5,54.95
2026-06-26,The Physics of Forgetting,1,21.5
2026-06-26,Whispers of Kaduna,2,25.0
2026-06-26,Whispers of Kaduna,4,50.0
2026-06-26,Quantum Shadows,1,22.0
2026-06-26,The Grammar of Rivers,1,9.99
2026-06-26,The Iron Archive,1,18.4
2026-06-27,The Last Cartographer,3,50.25
2026-06-27,Echoes in Sepia,1,14.2
2026-06-27,Copper Wire Kingdom,2,39.98
2026-06-27,Ashes of Meridian,1,18.99
2026-06-27,Neural Nights,2,49.98
2026-06-27,Quantum Shadows,1,22.0
2026-06-27,The Algorithm of Grief,5,85.0
2026-06-28,The Salt Road,2,31.98
2026-06-28,The Algorithm of Grief,3,51.0
2026-06-28,Ashes of Meridian,1,18.99
2026-06-28,Saffron and Static,1,12.99
2026-06-28,Neural Nights,2,49.98
2026-06-29,Neural Nights,1,24.99
2026-06-29,Saffron and Static,5,64.95
2026-06-29,Neural Nights,3,74.97
2026-06-29,The Last Cartographer,3,50.25
2026-06-30,Beneath the Marigold Sky,4,47.96
2026-06-30,Quantum Shadows,2,44.0
2026-06-30,Echoes in Sepia,2,28.4
2026-06-30,The Silent Orchard,5,74.95
2026-06-30,Verses for a Rainy Ledger,1,8.5
2026-07-01,The Last Cartographer,5,83.75
2026-07-01,The Bureaucrat's Garden,1,14.6
2026-07-01,Echoes in Sepia,1,14.2
2026-07-01,The Algorithm of Grief,1,17.0
2026-07-01,Quantum Shadows,1,22.0
2026-07-02,The Clockmaker's Daughter II,2,30.5
2026-07-02,The Silent Orchard,4,59.96
2026-07-02,Ghosts of the Data Center,4,103.0
2026-07-02,The Algorithm of Grief,2,34.0
2026-07-02,Copper Wire Kingdom,2,39.98
2026-07-03,The Iron Archive,1,18.4
2026-07-03,Verses for a Rainy Ledger,2,17.0
2026-07-04,Monsoon Ledger,1,13.4
2026-07-04,The Algorithm of Grief,4,68.0
2026-07-04,Saffron and Static,3,38.97
2026-07-04,The Algorithm of Grief,1,17.0
2026-07-05,Under a Borrowed Moon,4,43.96
2026-07-05,Static Hearts,4,45.0
2026-07-05,Copper Wire Kingdom,5,99.95
2026-07-05,Under a Borrowed Moon,2,21.98
2026-07-05,The Salt Road,1,15.99
2026-07-05,The Nightshift Gardener,7,96.25
2026-07-06,The Silent Orchard,1,14.99
2026-07-06,Static Hearts,2,22.5
2026-07-06,The Algorithm of Grief,6,102.0
2026-07-06,Under a Borrowed Moon,7,76.93
2026-07-07,The Physics of Forgetting,2,43.0
2026-07-07,Ghosts of the Data Center,2,51.5
2026-07-07,The Bureaucrat's Garden,2,29.2
2026-07-07,The Last Cartographer,2,33.5
2026-07-08,Monsoon Ledger,3,40.2
2026-07-08,Copper Wire Kingdom,1,19.99
2026-07-08,Copper Wire Kingdom,2,39.98
2026-07-08,Code & Cauldron,2,55.0
2026-07-09,Saffron and Static,2,25.98
2026-07-09,The Bureaucrat's Garden,2,29.2
2026-07-09,Monsoon Ledger,1,13.4
2026-07-10,Beneath the Marigold Sky,3,35.97
2026-07-10,Quantum Shadows,1,22.0
2026-07-10,Static Hearts,1,11.25
2026-07-11,The Last Cartographer,1,16.75
2026-07-11,Beneath the Marigold Sky,4,47.96
2026-07-11,Beneath the Marigold Sky,4,47.96
2026-07-11,Neural Nights,3,74.97
2026-07-11,Copper Wire Kingdom,4,79.96
2026-07-11,The Algorithm of Grief,4,68.0
2026-07-11,Whispers of Kaduna,4,50.0
